scene,patch,category,truth_present,truth_member,prediction_present,prediction_member,prediction_error_px,raw_first_correct_rank,filtered_first_correct_rank,raw_prediction_rank,filtered_prediction_rank,raw_top_error_px,filtered_top_error_px,raw_top_score,filtered_top_score,border_distance_px,patch_peak,local_background,local_noise,peak_over_noise,star_width_px
pisces,patch_01,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.8689,0.9131,416,81.0,18.0,16.309,3.863,2.593
pisces,patch_02,membership_missed,1,1,1,0,1.0,1,2,1,2,1.0,483.29,0.9457,0.9825,656,255.0,60.0,23.722,8.22,2.665
pisces,patch_03,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.8806,0.9543,165,92.0,24.0,19.274,3.528,3.236
pisces,patch_04,correct,1,1,1,1,1.0,1,1,1,1,1.0,1.0,0.9234,0.95,999,225.0,73.0,34.1,4.458,2.554
pisces,patch_05,false_positive,0,,1,1,,0,0,8,1,,,0.9331,0.933,,255.0,139.0,22.239,5.216,2.815
pisces,patch_06,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.9064,0.9303,538,177.0,93.0,16.309,5.151,2.41
pisces,patch_07,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.938,0.9557,368,79.0,40.0,14.826,2.631,2.138
pisces,patch_08,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.9702,0.9797,175,244.0,66.0,20.756,8.576,2.788
pisces,patch_09,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.9057,0.971,335,107.0,53.0,32.617,1.656,2.83
pisces,patch_10,correct_absent,0,,0,,,0,0,0,0,,,0.7575,0.7904,,255.0,235.0,17.791,1.124,2.894
pisces,patch_11,correct,1,1,1,1,2.0,5,1,5,1,915.17,2.0,0.9627,0.9653,1326,255.0,120.0,17.791,7.588,2.771
pisces,patch_12,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.9682,0.9805,326,150.0,66.0,25.204,3.333,3.053
pisces,patch_13,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.9581,0.9707,1024,254.0,45.5,23.722,8.789,2.783
