scene,patch,old,new,old_member,new_member,old_raw_rank,new_raw_rank,old_raw_score,new_raw_score,old_gaussian_rank,new_gaussian_rank,old_gaussian_score,new_gaussian_score
pisces,patch_02,"(2343, 1784, 0)","(2343, 1784, 1)",0,1,1,1,0.870051634311676,0.870051634311676,1,1,0.9456703960895538,0.9456703960895538
pisces,patch_25,"(2344, 1783, 1)",-1,1,-1,6,0,0.7891729295253754,nan,10,0,0.8743938624858857,nan
pisces,patch_38,-1,"(1201, 1300, 1)",-1,1,0,3,nan,0.6611994490027427,0,0,nan,nan
pisces,patch_40,"(1201, 1301, 1)",-1,1,-1,9,0,0.6171805918216705,nan,0,0,nan,nan
scorpius,patch_08,"(1472, 1486, 1)","(398, 758, 1)",1,1,12,3,0.7672612309455873,0.8076448500156403,15,1,0.8712664365768432,0.9351015388965608
scorpius,patch_09,"(845, 2173, 0)","(2184, 1864, 1)",0,1,1,2,0.8979864120483398,0.8965449154376984,1,2,0.9778389692306518,0.9747706711292268
scorpius,patch_17,"(2187, 1858, 1)","(1997, 1981, 1)",1,1,3,1,0.8499938249588013,0.8572834193706512,6,2,0.9244163513183594,0.9435722708702088
scorpius,patch_19,"(991, 1382, 1)","(1744, 2047, 1)",1,1,9,2,0.7196031510829927,0.7370939731597901,4,7,0.9186023771762848,0.9067905962467193
scorpius,patch_23,"(1997, 1981, 1)","(1473, 1486, 1)",1,1,4,10,0.8342898726463318,0.8039352953433991,2,10,0.9521611392498017,0.9404048204421998
scorpius,patch_27,"(1751, 2051, 1)","(951, 2046, 0)",1,0,8,1,0.8008663296699525,0.8928410768508912,5,1,0.8759689629077911,0.9580154776573182
scorpius,patch_36,"(397, 758, 1)","(991, 1382, 1)",1,1,16,1,0.8206271648406983,0.8876031279563904,9,1,0.9329916059970855,0.966558861732483
taurus,patch_08,"(1363, 1394, 1)","(1171, 2164, 1)",1,1,16,1,0.9065780401229859,0.9373394966125489,0,2,nan,0.9802650809288025
taurus,patch_20,"(1171, 2164, 1)","(1364, 1394, 1)",1,1,15,5,0.8709836304187776,0.8900633871555329,0,5,nan,0.946968710422516
