scene,patch,category,truth_present,truth_member,prediction_present,prediction_member,prediction_error_px,raw_first_correct_rank,filtered_first_correct_rank,raw_prediction_rank,filtered_prediction_rank,raw_top_error_px,filtered_top_error_px,raw_top_score,filtered_top_score,border_distance_px,patch_peak,local_background,local_noise,peak_over_noise,star_width_px
pisces,patch_01,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.666,0.8689,416,81.0,18.0,16.309,3.863,2.593
pisces,patch_02,membership_missed,1,1,1,0,1.0,1,1,1,1,1.0,1.0,0.8701,0.9457,656,255.0,60.0,23.722,8.22,2.665
pisces,patch_03,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.7241,0.8806,165,92.0,24.0,19.274,3.528,3.236
pisces,patch_04,correct,1,1,1,1,1.0,1,1,1,1,1.0,1.0,0.775,0.9234,999,225.0,73.0,34.1,4.458,2.554
pisces,patch_05,false_positive,0,,1,1,,0,0,4,8,,,0.819,0.9331,,255.0,139.0,22.239,5.216,2.815
pisces,patch_06,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.7627,0.9064,538,177.0,93.0,16.309,5.151,2.41
pisces,patch_07,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.7525,0.938,368,79.0,40.0,14.826,2.631,2.138
pisces,patch_08,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.8808,0.9702,175,244.0,66.0,20.756,8.576,2.788
pisces,patch_09,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.7837,0.9057,335,107.0,53.0,32.617,1.656,2.83
pisces,patch_10,correct_absent,0,,0,,,0,0,0,0,,,0.5396,0.7575,,255.0,235.0,17.791,1.124,2.894
pisces,patch_11,correct,1,1,1,1,2.0,14,5,14,5,915.17,915.17,0.8642,0.9627,1326,255.0,120.0,17.791,7.588,2.771
pisces,patch_12,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.8734,0.9682,326,150.0,66.0,25.204,3.333,3.053
pisces,patch_13,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.8364,0.9581,1024,254.0,45.5,23.722,8.789,2.783
pisces,patch_14,correct_absent,0,,0,,,0,0,0,0,,,0.5928,0.7656,,182.0,84.5,17.05,5.719,2.421
pisces,patch_15,false_positive,0,,1,1,,0,0,7,13,,,0.7557,0.8999,,255.0,113.0,10.378,13.683,2.577
pisces,patch_16,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.7915,0.931,678,177.0,74.0,22.98,4.482,2.401
pisces,patch_17,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.7482,0.9105,396,212.0,141.0,35.582,1.995,3.3
pisces,patch_18,retrieval_missing,1,0,0,,,0,0,0,0,1818.45,590.12,0.4209,0.6298,811,153.0,109.0,14.826,2.968,2.748
pisces,patch_19,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.802,0.906,676,116.0,1.0,1.483,77.566,2.481
pisces,patch_20,correct,1,1,1,1,1.0,1,1,1,1,1.0,1.0,0.8773,0.9658,362,255.0,99.0,20.756,7.516,2.723
pisces,patch_21,correct,1,1,1,1,1.0,1,1,1,1,1.0,1.0,0.8111,0.9587,365,249.0,131.0,14.826,7.959,2.641
pisces,patch_22,location_selection_error,1,0,1,0,1057.08,1,3,4,1,1.41,1057.08,0.6982,0.891,776,255.0,239.0,13.343,1.199,2.866
pisces,patch_23,correct_absent,0,,0,,,0,0,0,0,,,0.5344,0.6759,,138.0,8.5,11.12,11.646,2.415
pisces,patch_24,correct_absent,0,,0,,,0,0,0,0,,,0.5329,0.7274,,255.0,252.0,4.448,0.674,2.873
pisces,patch_25,false_positive,0,,1,1,,0,0,6,10,,,0.8108,0.9182,,255.0,4.0,5.93,42.324,2.654
pisces,patch_26,correct,1,0,1,0,0.0,1,1,1,1,1.0,0.0,0.548,0.8192,371,127.0,86.0,11.861,3.457,2.772
pisces,patch_27,correct_absent,0,,0,,,0,0,0,0,,,0.6063,0.7586,,180.0,48.0,25.204,5.237,2.689
pisces,patch_28,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.6562,0.8726,425,74.0,41.0,17.791,1.855,2.951
pisces,patch_29,location_selection_error,1,1,1,1,1141.06,3,7,1,4,1140.99,715.33,0.8264,0.8924,1201,254.0,2.0,2.965,84.986,2.273
pisces,patch_30,false_positive,0,,1,1,,0,0,1,1,,,0.7814,0.8875,,255.0,9.0,8.896,27.654,2.746
pisces,patch_31,correct_absent,0,,0,,,0,0,0,0,,,0.5407,0.7145,,197.0,54.5,24.463,5.825,2.219
pisces,patch_32,correct,1,1,1,1,2.24,2,1,2,1,1279.85,1.41,0.8643,0.9484,560,255.0,13.5,18.532,13.031,2.822
pisces,patch_33,correct,1,1,1,1,1.0,1,1,1,1,1.0,1.0,0.8761,0.959,1087,255.0,147.0,14.826,7.285,2.801
pisces,patch_34,correct,1,1,1,1,1.0,1,1,1,1,1.0,1.0,0.7732,0.9309,664,255.0,155.0,14.826,6.745,2.718
pisces,patch_35,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.8976,0.9778,977,255.0,154.0,19.274,5.24,2.89
pisces,patch_36,correct_absent,0,,0,,,0,0,0,0,,,0.5797,0.7209,,193.0,11.0,10.378,17.537,2.325
pisces,patch_37,location_selection_error,1,1,1,0,727.12,2,5,1,1,727.12,727.12,0.8924,0.9713,76,255.0,69.0,31.135,5.974,2.813
pisces,patch_38,correct_absent,0,,0,,,0,0,0,0,,,0.6686,0.7951,,224.0,10.0,5.93,36.085,2.047
pisces,patch_39,correct,1,0,1,0,0.0,0,1,0,1,1835.06,0.0,0.4583,0.8795,787,85.0,24.0,15.567,3.918,2.179
pisces,patch_40,false_positive,0,,1,1,,0,0,9,0,,,0.6773,0.7769,,255.0,11.0,16.309,14.961,2.54
pisces,patch_41,false_positive,0,,1,1,,0,0,7,3,,,0.7682,0.9119,,255.0,119.0,13.343,10.192,2.634
scorpius,patch_01,presence_missed,1,0,0,,,0,1,0,0,1037.51,1.0,0.6122,0.7467,653,66.0,11.0,5.93,9.274,2.463
scorpius,patch_02,correct_absent,0,,0,,,0,0,0,0,,,0.666,0.7722,,224.0,7.0,10.378,20.909,2.314
scorpius,patch_03,retrieval_missing,1,0,0,,,0,0,0,0,2956.98,2867.02,0.3908,0.5686,101,70.0,20.0,13.343,3.747,2.869
scorpius,patch_04,correct_absent,0,,0,,,0,0,0,0,,,0.4922,0.6875,,255.0,253.0,2.965,0.674,3.086
scorpius,patch_05,correct_absent,0,,0,,,0,0,0,0,,,0.5565,0.7706,,217.0,57.0,19.274,8.301,2.334
scorpius,patch_06,correct_absent,0,,0,,,0,0,0,0,,,0.5019,0.7069,,207.0,173.0,14.826,2.293,2.675
scorpius,patch_07,false_positive,0,,1,1,,0,0,9,3,,,0.5399,0.7346,,255.0,194.0,48.926,1.247,2.765
scorpius,patch_08,location_selection_error,1,1,1,1,1299.97,3,1,12,15,2105.95,3.0,0.817,0.9351,395,255.0,213.0,19.274,2.179,2.947
scorpius,patch_09,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.898,0.9778,827,255.0,116.0,55.597,2.5,2.887
scorpius,patch_10,retrieval_missing,1,0,0,,,0,0,0,0,1529.74,841.02,0.5052,0.6962,173,207.0,155.0,26.687,1.949,2.702
scorpius,patch_11,correct_absent,0,,0,,,0,0,0,0,,,0.3694,0.6278,,183.0,80.0,19.274,5.344,2.496
scorpius,patch_12,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.7919,0.9449,141,210.0,170.0,37.065,1.079,3.129
scorpius,patch_13,correct_absent,0,,0,,,0,0,0,0,,,0.4364,0.648,,159.0,103.0,14.826,3.777,2.458
scorpius,patch_14,correct,1,0,1,0,1.41,0,1,0,1,1089.52,1.41,0.5222,0.814,1021,99.0,76.5,12.602,1.785,2.86
scorpius,patch_15,correct,1,0,1,0,1.0,6,1,6,1,2525.96,1.0,0.8729,0.9713,432,253.0,131.0,51.891,2.351,2.958
scorpius,patch_16,correct_absent,0,,0,,,0,0,0,0,,,0.608,0.7551,,189.0,57.0,34.1,3.871,2.705
scorpius,patch_17,location_selection_error,1,1,1,1,1286.31,2,1,3,6,1169.97,1.0,0.8573,0.9531,992,255.0,200.0,17.791,3.091,2.987
scorpius,patch_18,correct,1,1,1,1,1.41,1,1,1,1,1.41,1.41,0.8842,0.9658,719,255.0,174.5,21.498,3.745,2.915
scorpius,patch_19,location_selection_error,1,1,1,1,494.07,6,1,9,4,1334.26,1.41,0.7453,0.9285,1474,255.0,189.0,14.826,4.452,2.892
scorpius,patch_20,correct,1,1,1,1,0.0,2,1,2,1,2126.75,1.0,0.7397,0.8987,143,255.0,224.0,13.343,2.323,2.991
scorpius,patch_21,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.712,0.9132,646,99.0,77.0,17.791,1.237,3.595
